,Roster_ID,Student_ID
494,23,2335
495,23,1508
496,23,1508
497,23,2715
498,23,2423
499,23,2715
500,23,975
501,23,975
502,23,1041
503,23,1041
504,23,1088
505,23,1088
506,23,1497
507,23,2430
508,23,2383
509,23,2383
510,23,358
511,23,358
512,23,1476
513,23,592
514,23,1685
515,23,1685
516,23,1154
517,23,2081
518,23,2081
519,23,2280
520,23,2280
521,23,2651
522,23,2927
523,23,1155
524,23,268
525,23,268
526,23,1896
527,23,1105
528,23,1775
529,23,1192
530,23,1308
531,23,2387
532,23,2692
533,23,2244
534,23,2244
535,23,1016
536,23,1054
537,23,1054
538,24,1532
539,24,1294
540,24,353
541,24,2339
542,24,851
543,24,1961
544,24,2849
545,24,2340
546,24,355
547,24,520
548,24,832
549,24,2994
550,24,2379
551,24,783
552,24,99
553,24,1093
554,24,855
555,24,867
556,24,1829
557,24,2855
558,24,1214
559,24,2512
560,24,1508
561,24,2715
562,24,2423
563,24,2514
564,24,1088
565,24,1497
566,24,511
567,24,2383
568,24,1108
569,24,1685
570,24,1154
571,24,2081
572,24,2280
573,24,2927
574,24,1155
575,24,1110
576,24,1199
577,24,2355
578,24,1719
579,24,2282
580,24,2387
581,24,2692
582,24,2244
583,24,1054
584,24,670
585,25,1292
586,25,692
587,25,1172
588,25,616
589,25,2990
590,25,802
591,25,2340
592,25,2265
593,25,2511
594,25,2390
595,25,2994
596,25,2690
597,25,2286
598,25,1093
599,25,1918
600,25,1829
601,25,1236
602,25,116
603,25,2514
604,25,2518
605,25,933
606,25,1108
607,25,2831
608,25,887
609,25,1479
610,25,2969
611,25,1611
612,25,935
613,25,27
614,25,2355
615,25,2523
616,25,1790
617,25,1187
618,25,1914
619,25,2349
620,26,1292
621,26,692
622,26,1172
623,26,616
624,26,464
625,26,802
626,26,1533
627,26,2265
628,26,858
629,26,2683
630,26,2598
631,26,2511
632,26,2390
633,26,2690
634,26,2286
635,26,1725
636,26,1093
637,26,1918
638,26,1106
639,26,1236
640,26,116
641,26,2518
642,26,933
643,26,2353
644,26,2831
645,26,1895
646,26,887
647,26,1479
648,26,2969
649,26,1611
650,26,27
651,26,1790
652,26,707
653,26,2415
654,26,1187
655,26,1914
656,26,2349
657,27,153
658,27,1532
659,27,692
660,27,353
661,27,556
662,27,2849
663,27,1067
664,27,2340
665,27,1885
666,27,2994
667,27,2690
668,27,2095
669,27,99
670,27,1093
671,27,1829
672,27,2855
673,27,2997
674,27,1508
675,27,2423
676,27,2514
677,27,1497
678,27,1108
679,27,1685
680,27,1154
681,27,2969
682,27,503
683,27,935
684,27,1110
685,27,1199
686,27,2355
687,27,2523
688,27,1914
689,27,2244
690,28,1532
691,28,353
692,28,851
693,28,2455
694,28,1961
695,28,1174
696,28,2821
697,28,854
698,28,1195
699,28,355
700,28,1196
701,28,832
702,28,783
703,28,99
704,28,855
705,28,867
706,28,2855
707,28,2512
708,28,2335
709,28,1508
710,28,2715
711,28,2423
712,28,975
713,28,1088
714,28,1497
715,28,511
716,28,2383
717,28,1685
718,28,1154
719,28,2081
720,28,2280
721,28,2927
722,28,1198
723,28,1155
724,28,268
725,28,1896
726,28,1105
727,28,1192
728,28,1308
729,28,2387
730,28,2692
731,28,2244
732,29,692
733,29,1172
734,29,1311
735,29,616
736,29,802
737,29,2340
738,29,2994
739,29,2690
740,29,2095
741,29,1093
742,29,1918
743,29,1829
744,29,2855
745,29,2423
746,29,1236
747,29,2514
748,29,1497
749,29,933
750,29,1108
751,29,2831
752,29,1154
753,29,314
754,29,887
755,29,2969
756,29,1611
757,29,503
758,29,935
759,29,27
760,29,1110
761,29,1199
762,29,2355
763,29,2523
764,29,1187
765,29,1914
766,29,1012
767,29,273
768,30,383
769,30,1292
770,30,2662
771,30,1172
772,30,2683
773,30,616
774,30,464
775,30,802
776,30,1533
777,30,588
778,30,1220
779,30,2824
780,30,2265
781,30,858
782,30,2598
783,30,2511
784,30,2390
785,30,209
786,30,2286
787,30,1725
788,30,1918
789,30,74
790,30,1106
791,30,605
792,30,1562
793,30,1236
794,30,2518
795,30,232
796,30,2353
