,High_School_ID,High School
398,398,Wayland High School
399,399,Bronxville
400,400,Harvard Westlake
401,401,Parish Episcopal School
402,402,Deerfield
403,403,LaSalle
404,404,XV Gymnasium
405,405,Culver Military Academy
406,406,West Ottawa
407,407,Bishop Guertin
408,408,Cardinal Newman
409,409,Brother Rice
410,410,Ashtabula
411,411,Mira Costa High School
412,412,Prestonwood Christian
413,413,Lyman Hall
414,414,Pittsfield HS
415,415,Centennial
416,416,Millburn
417,417,Pembroke Hill
418,418,Loomis Chaffee
419,419,Port Angeles High School
420,420,Olathe South
421,421,West Orange
422,422,Pope John XXIII High School
423,423,Woodrow Wilson
424,424,Independent
425,425,The Waterford School
426,426,Pingry
427,427,Germantown Friends School
428,428,Maranacook Community School
429,429,Hotchkiss School
430,430,Chaparral
431,431,Loomis Chaffee School (CT)
432,432,Garfield High School
433,433,Woodside Priory School
434,434,North Shore Country Day School
435,435,Bothell
436,436,The Westminster Schools
437,437,The Heritage School
438,438,Potomac School
439,439,Trinity College School
440,440,Adlai E. Stevenson
441,441,West Salem
442,442,Santa Monica
443,443,Mt. Lebanon Senior
444,444,Hunting Hills
445,445,Berkeley
446,446,Amador Valley High School
447,447,Albuquerque Academy
448,448,Midwood
449,449,Shore Regional
450,450,Minnetonka High School
451,451,Salpointe Catholic
452,452,Bethesda-Chevy Chase High School
453,453,Miramonte High School
454,454,Severn
455,455,Mountain Lakes
456,456,Roland Park School
457,457,The Spence School
458,458,Bromfield
459,459,Rathdown School
460,460,Darien
461,461,Saint Francis
462,462,Thomas Jefferson High School for Science and Technology
463,463,Noble & Greenough
464,464,Ft. McMurray Oil Barons (AJHL)
465,465,Community School of Naples
466,466,Second Baptist Upper School
467,467,Palos Verdes High School
468,468,Savannah Arts Academy
469,469,South Oak Cliff
470,470,Hamden Hall
471,471,Henry H. Gunn
472,472,Grosse Pointe South
473,473,Newbury Park
474,474,Carroll Senior
475,475,Fredericton High School
476,476,George Jenkins
477,477,Sage Hill
478,478,Wilbur L. Cross
479,479,Western Albemarle High School
480,480,Noble and Greenough
481,481,The Hotchkiss School
482,482,Bernards High School
483,483,Manhasset
484,484,Malborough School
485,485,Chung Hwa School
486,486,Crossroads
487,487,Alan C. Pope
488,488,Folsom
489,489,Oak Park Independent
490,490,Nanaimo Clippers BCJHL
491,491,Hempfield High School
492,492,LaGuardia Arts High School
493,493,Des Moines (USHL)
494,494,Woodinville High School
495,495,Ohio Jr. Blue Jackets (USHL)
496,496,Gulliver Preparatory
497,497,Parish Episcopal
498,498,Lincoln/Choate Rosemary Hall (CT)
499,499,Surrey (BCHL)
500,500,Brentwood High
501,501,Brunswick School
502,502,Saint Joseph High
